INDEX,RCR,DATE,TIME,VALID,LATITUDE,N/S,LONGITUDE,E/W,HEIGHT,SPEED,DISTANCE,
1,S,2008/06/03,07:49:13.200,SPS,52.961855,N,6.526638,E,51.610 m,10.120 km/h,6364604.30 m,
2,S,2008/06/03,07:49:13.400,SPS,52.961854,N,6.526629,E,51.653 m,10.769 km/h,0.63 m,
3,S,2008/06/03,07:49:13.600,SPS,52.961853,N,6.526620,E,51.691 m,11.667 km/h,0.58 m,
4,S,2008/06/03,07:49:13.800,SPS,52.961852,N,6.526611,E,51.703 m,12.147 km/h,0.61 m,
5,S,2008/06/03,07:49:14.000,SPS,52.961851,N,6.526602,E,51.660 m,11.944 km/h,0.59 m,
6,S,2008/06/03,07:49:14.200,SPS,52.961852,N,6.526593,E,51.669 m,12.526 km/h,0.64 m,
7,S,2008/06/03,07:49:14.400,SPS,52.961853,N,6.526583,E,51.662 m,12.948 km/h,0.67 m,
8,S,2008/06/03,07:49:14.600,SPS,52.961854,N,6.526574,E,51.656 m,13.186 km/h,0.63 m,
9,S,2008/06/03,07:49:14.800,SPS,52.961854,N,6.526564,E,51.617 m,13.990 km/h,0.66 m,
10,S,2008/06/03,07:49:15.000,SPS,52.961854,N,6.526554,E,51.605 m,14.194 km/h,0.66 m,
11,S,2008/06/03,07:49:15.200,SPS,52.961855,N,6.526545,E,51.620 m,14.202 km/h,0.65 m,
12,S,2008/06/03,07:49:15.400,SPS,52.961857,N,6.526534,E,51.652 m,14.010 km/h,0.73 m,
13,S,2008/06/03,07:49:15.600,SPS,52.961860,N,6.526523,E,51.608 m,14.171 km/h,0.84 m,
14,S,2008/06/03,07:49:15.800,SPS,52.961861,N,6.526512,E,51.605 m,14.654 km/h,0.72 m,
15,S,2008/06/03,07:49:16.000,SPS,52.961862,N,6.526501,E,51.549 m,14.716 km/h,0.78 m,
16,S,2008/06/03,07:49:16.200,SPS,52.961865,N,6.526488,E,51.531 m,14.579 km/h,0.93 m,
17,S,2008/06/03,07:49:16.400,SPS,52.961867,N,6.526476,E,51.509 m,14.878 km/h,0.82 m,
18,S,2008/06/03,07:49:16.600,SPS,52.961869,N,6.526463,E,51.497 m,14.805 km/h,0.89 m,
19,S,2008/06/03,07:49:16.800,SPS,52.961872,N,6.526451,E,51.390 m,14.911 km/h,0.86 m,
20,S,2008/06/03,07:49:17.000,SPS,52.961876,N,6.526439,E,51.308 m,15.089 km/h,0.96 m,
21,S,2008/06/03,07:49:17.200,SPS,52.961880,N,6.526426,E,51.217 m,14.957 km/h,0.94 m,
22,S,2008/06/03,07:49:17.400,SPS,52.961883,N,6.526415,E,51.132 m,14.585 km/h,0.87 m,
23,S,2008/06/03,07:49:17.600,SPS,52.961885,N,6.526403,E,51.062 m,14.917 km/h,0.86 m,
24,S,2008/06/03,07:49:17.800,SPS,52.961887,N,6.526390,E,50.996 m,14.936 km/h,0.90 m,
25,S,2008/06/03,07:49:18.000,SPS,52.961890,N,6.526378,E,50.919 m,14.942 km/h,0.83 m,
26,S,2008/06/03,07:49:18.200,SPS,52.961893,N,6.526368,E,50.858 m,14.903 km/h,0.77 m,
27,S,2008/06/03,07:49:18.400,SPS,52.961896,N,6.526356,E,50.835 m,14.875 km/h,0.85 m,
28,S,2008/06/03,07:49:18.600,SPS,52.961900,N,6.526345,E,50.821 m,14.971 km/h,0.85 m,
29,S,2008/06/03,07:49:18.800,SPS,52.961903,N,6.526334,E,50.791 m,14.906 km/h,0.84 m,
30,S,2008/06/03,07:49:19.000,SPS,52.961906,N,6.526323,E,50.741 m,15.181 km/h,0.81 m,
31,S,2008/06/03,07:49:19.200,SPS,52.961909,N,6.526311,E,50.704 m,15.420 km/h,0.87 m,
32,S,2008/06/03,07:49:19.400,SPS,52.961911,N,6.526299,E,50.664 m,16.115 km/h,0.89 m,
